Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
AUG,103665.00,3920.00,25268.00,30016.00,16354.00,23847.00,4259.00,67763.00,4233.00,14679.00,31531.00,6769.00,7683.00,2867.00
SEP,106396.00,3886.00,26470.00,31171.00,16441.00,24217.00,4211.00,67562.00,4085.00,15189.00,31198.00,6588.00,7718.00,2784.00
OCT,106056.00,3855.00,26418.00,30284.00,16652.00,24770.00,4077.00,66845.00,4012.00,14958.00,30823.00,6660.00,7363.00,3029.00
NOV,103993.00,3938.00,25429.00,29597.00,16209.00,24642.00,4177.00,66691.00,3936.00,15091.00,30707.00,6475.00,7492.00,2990.00
DEC,103673.00,3795.00,26283.00,29940.00,15502.00,24128.00,4025.00,65816.00,3898.00,14445.00,30440.00,6481.00,7532.00,3020.00
1999,1024618.00,43602.00,221386.00,295717.00,178964.00,241905.00,43044.00,695797.00,45977.00,147524.00,310794.00,75256.00,80922.00,35324.00
JAN,77781.00,3556.00,15318.00,22963.00,13779.00,18839.00,3325.00,56272.00,3671.00,11355.00,25598.00,6131.00,6585.00,2931.00
FEB,79842.00,3563.00,15281.00,23590.00,14379.00,19711.00,3317.00,55522.00,3656.00,11356.00,24706.00,6185.00,6598.00,3021.00
MAR,79569.00,3460.00,15986.00,23184.00,14413.00,18947.00,3579.00,55749.00,3627.00,11497.00,25179.00,5996.00,6511.00,2940.00
APR,80801.00,3591.00,17010.00,23502.00,13811.00,19409.00,3480.00,56546.00,3766.00,11705.00,25236.00,6357.00,6715.00,2767.00
